Name,BP_ClassPath
"0","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/AbyssalMonument_misc/BP_AMShelf_Coral_01.BP_AMShelf_Coral_01_C"
"1","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/AbyssalMonument_Pillars/BP_AM_Arches.BP_AM_Arches_C"
"2","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/BP_AM_BG.BP_AM_BG_C"
"3","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/AbyssalMonument_misc/BP_AM_Brazier.BP_AM_Brazier_C"
"4","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/Fish/BP_AM_DDD_FishWindow8x16.BP_AM_DDD_FishWindow8x16_C"
"5","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/Fish/BP_AM_DDD_FishWindow_Master.BP_AM_DDD_FishWindow_Master_C"
"6","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/BP_AM_Depth.BP_AM_Depth_C"
"7","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/BP_AM_DrownedStatue_Large.BP_AM_DrownedStatue_Large_C"
"8","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/RadiantRavine/DarkConduit/BP_AM_DrownedStatue_Large_Interactive.BP_AM_DrownedStatue_Large_Interactive_C"
"9","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/Glass_Bridge/BP_AM_GlassBridge.BP_AM_GlassBridge_C"
"10","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/Glass_Bridge/BP_AM_GlassBridge_D1.BP_AM_GlassBridge_D1_C"
"11","/Game/Content_DLC5/Decor/Prefabs/_HiddenDepths/AbyssalMonument/Glass_Bridge/BP_AM_GlassBridge_D2.BP_AM_GlassBridge_D2_C"
